店名,星级评分,评论数,平均每人消费,饭店标签,地址
GROTTO(温州滨江万象城店),40,4,未知,服饰鞋包,杨府山
Wagas沃歌斯(温州滨江万象城店),35,20,￥75,西餐,杨府山
摩洛哥自由餐厅,45,353,￥161,西餐,娄桥
COMMUNE幻师(印象城店),45,1245,￥86,西餐,中央绿轴
江筵,40,91,￥740,温州菜,鹿城区
一绪に寿喜烧(公园路店),45,827,￥170,寿喜锅/烧自助,五马街/大南门
花间厨房,40,24,￥87,温州菜,现代广场
行慢·文食诗酒醉美落日餐厅(印象城店),45,2812,￥184,西餐,中央绿轴
老地方厨房(塘下店),35,136,￥98,温州菜,塘下
驻海渔市(学院路店),35,129,￥181,温州菜,中央绿轴
醉酒的植物学家与茶·西餐,45,1695,￥126,西餐,杨府山
% Arabica(温州滨江万象城店),40,105,￥44,咖啡厅,鹿城区
NINI2025商街,50,38,未知,商场,滨海园区
ORANGE CUBE(温州滨江万象城店),35,3,未知,服饰鞋包,鹿城区
朴丰(府前街店),40,86,￥60,日本料理,鹿城区
与卿说汉服体验馆,0,11,未知,自拍/换装体验,老殿后
陶享时光西餐·下午茶(新城店),45,438,￥124,西餐,中央绿轴
HERE三餐这里(印象城店),45,605,￥245,西餐,中央绿轴
深巷厨房(茶山店),45,495,￥88,温州菜,大学城
安三胖韩国烤肉(滨江万象城店),45,372,￥118,韩式烤肉,杨府山
味来·霞浦海鲜(万达店),45,294,￥80,浙菜,万达广场
LIRSTE莱斯特文创(温州滨江万象城店),50,41,未知,杂货礼品,江滨东路
supa brunch,45,101,￥100,西餐,老殿后
时代广场购物中心(车站大道店),40,204,未知,商场,车站大道
键勇饭摊(新城店),35,103,￥85,温州菜,汤家桥
遇见?彧见蔬食餐厅,40,428,￥62,素食自助,中央绿轴
创荣商业广场,40,82,未知,商场,大学城
花间酒肆(梧田老街店),40,128,￥74,创意菜,梧田
亲爱的栄·创意融合餐厅万科生活馆,45,5557,￥154,创意菜,车站大道
友家双囍(中荣广场店),40,265,￥135,西餐,妙果寺
星悦南洋荟(瓯海银泰店),45,731,￥116,泰国菜,娄桥
新东山海鲜(白麓店),50,1448,￥169,海鲜,中央绿轴
屿里厨房,45,51,￥115,温州菜,洞头区
胖姐东北餐馆,45,750,￥67,东北菜,汤家桥
太食獸泰式茶餐厅(温州滨江万象城店),45,265,￥108,泰国菜,江滨东路
哲平鳗满·活烤鳗鱼(浙南首店),45,180,￥96,日本料理,江滨东路
蔡澜港式点心(滨江万象城店),40,192,￥112,粤式茶点,江滨东路
瓯宴府(荷塘月色店),35,18,￥423,温州菜,梧田
静四合院(吴桥店),35,85,￥299,苏浙菜,马鞍池
朴丰家庭日料(万顺店),50,718,￥99,日本料理,车站大道
裕莲茶楼(浙南首店),35,179,￥62,茶饮果汁,杨府山
Model 鹿港·筵·文化艺术高级餐厅,40,315,￥470,温州菜,欧洲城
渔味小厨(锦延家园店),35,54,￥150,浙菜,中央绿轴
Taste·潮熹,35,37,￥460,温州菜,鹿城区
The Little House小房子餐厅,35,95,￥184,私房菜,瓯海区
崇悦广场,35,36,未知,商场,滨海园区
应天府贵州烙锅(温州第一分店),35,90,￥64,贵州菜|黔菜,大学城
delistwear(温州滨江万象城店),40,2,未知,服饰鞋包,杨府山
荣新记(乐清·江南里店),35,23,￥85,温州菜,乐清市
松·家庭料理(印象城店),45,2721,￥136,日本料理,中央绿轴
友家双囍(时代店),40,960,￥84,甜品,车站大道
HELLO见面·音乐餐厅,40,176,￥84,温州菜,万达广场
大锅鱼(拱瑞山路店),40,881,￥82,温州菜,安阳街道
梧田集·江南渔市,35,94,￥131,海鲜,老殿后
今晚食乜餸海鮮大排檔,45,2558,￥130,海鲜,车站大道
一棵树·意大利餐厅One Tree(新城店),45,1246,￥182,西餐,中央绿轴
汪妈妈家宴,35,15,未知,温州菜,永嘉县
WIND SILO风仓餐厅(中央绿轴店),45,416,￥184,西餐,中央绿轴
托托西里?意式大排档(万邦中心店),45,85,￥54,西餐,温州万象城
舌尖上的雁荡(雁荡店),45,866,￥75,温州菜,雁荡镇
瓯说·非遗手作馆(温州店),50,243,￥109,DIY手工坊,五马街/大南门
We+名城广场,40,277,未知,商场,五马街/大南门
甬小馆·焗海鲜(人民中路店),45,1433,￥99,海鲜,妙果寺
弘大韩食,45,469,￥63,韩国料理,学院路
米店·中餐厅,45,151,￥115,特色菜,蒲鞋市
小团圆(大西洋银泰店),40,1828,￥74,浙菜,娄桥
D2·restaurant,50,634,￥178,西餐,梧田
八全十满(大南店),45,1784,￥29,快餐简餐,五马街/大南门
啫火啫啫煲(温州滨江万象城店),40,316,￥91,广州菜,杨府山
太食獸泰式茶餐厅(温州万象城店·浙南首店),45,6080,￥113,泰国菜,温州万象城
MINI栄·江景派对下午茶coffee,50,632,￥115,西餐,江滨西路
肆榕(马鞍池店),40,994,￥39,快餐简餐,马鞍池
一绪に寿喜烧(温州万象城店),40,2219,￥173,日式自助,温州万象城
元熹,45,885,￥805,日本料理,五马街/大南门
泽雅溪野露营地,35,25,￥84,烧烤烤串,瓯海区
CHUU(温州万象城店),35,39,未知,服饰鞋包,温州万象城
司乎PRO(印象城店),40,544,￥19,西式快餐,中央绿轴
MYTIMELAB(温州滨江万象城店),35,4,未知,服饰鞋包,江滨东路
匠和风精致料理(温州印象城店),45,3027,￥292,日式自助,中央绿轴
花潮料理艺食馆(温州万象城店),45,4675,￥355,日式自助,温州万象城
七彩侨都儿童乐园世界,35,80,￥33,儿童乐园,鹿城区
食台味(西城路店),45,1810,￥63,其他中餐,西城路
AP 西餐厅运动娱乐中心(滨江万象城店),35,16,￥105,西餐,江滨东路
AP运动工场(米房店),40,332,￥116,更多新奇体验,米房创意园
瓯·正味海鲜·私厨(翡翠店),40,133,￥145,海鲜,火车站南
HOLA餐厅(财富中心店),35,433,￥85,西餐,车站大道
梦多多小镇,40,390,未知,商场,新桥
嘉野·山居赋,0,53,￥487,创意菜,温州万象城
STARLEAF星叶南洋料理·概念店(温州滨江万象城店),40,134,￥148,东南亚菜,江滨东路
安葵ANQUI X(山根店),40,355,￥103,特色菜,茶山
EXCELSIOR(温州滨江万象城店),35,1,未知,服饰鞋包,鹿城区
一品嘉.小鲜(温州滨江万象城店),40,46,￥146,特色菜,杨府山
LAFRASSANT法颂(温州滨江万象城店),40,51,￥28,面包烘焙,江滨东路
阿萨·中东料理·清真(龙湾吾悦店),45,844,￥99,中东菜,上江
温州新东方烹饪学校,0,未知,未知,餐饮厨艺培训,上江
Dayy goout store(东瓯智库店),45,216,￥80,西餐,学院路
熊太懒(开太店),45,176,￥34,DIY手工坊,五马街/大南门
东北那嘎哒(新桥店),40,85,￥59,东北菜,新桥
豚幸とんかつ(时代店),45,737,￥96,日本料理,车站大道
格乐利雅婚礼艺术中心(温州印象城MEGA店),40,103,"￥157,880",婚礼会所,中央绿轴
行慢·文食诗酒竹影小院(大南里店),45,2960,￥164,西餐,马鞍池
阿壮佬·小菜园(乐成店),45,715,￥104,温州菜,乐清市中心城区
新鲜誌(温州首店),45,1360,￥117,西餐,中央绿轴
花潮料理艺食馆(温州滨江万象城店),35,184,￥319,日式自助,江滨东路
松·隐世料理(温州万象城店),45,2870,￥142,日本料理,温州万象城
瓯阁海鲜楼(牛山店),50,697,￥132,海鲜,梧田
尋·桥下树,45,372,￥120,茶馆,车站大道
豚幸とんかつ(龙湾店),40,118,￥98,日本料理,万达广场
M Stand(温州滨江万象城店),40,37,￥43,咖啡厅,杨府山
厨研食黑毛和牛饭,40,96,￥34,小吃面食,银泰百货/大南路
Di più最西厨(印象城店),45,958,￥175,西餐,中央绿轴
澳珀食堂,40,358,￥390,苏浙菜,状元
璞邸江景餐厅(瓯江路店),40,114,￥480,创意菜,江滨东路
春山半茶室,45,181,￥142,茶馆,车站大道
满吉料理(浙江首店),40,190,￥124,日本料理,杨府山
ChinChin 法餐·酒廊,45,338,￥158,西餐,银泰百货/大南路
正亮海鲜(南塘店),45,1303,￥169,海鲜,南塘风貌街
MOJ COFFEE(泽雅唐宅店),45,327,￥59,咖啡厅,瓯海区
老鸭集(温州印象城店),45,339,￥101,浙菜,中央绿轴
朴丰家庭日料(欧洲城店),45,2257,￥89,日本料理,欧洲城
bobo咖啡西餐(学院西路店),45,680,￥144,西餐,学院路
大牛生态亲子农场儿童乐园,40,58,￥68,儿童乐园,鹿城区
钱炙自助料理(大西洋银泰店),45,6230,￥118,自助餐,娄桥
WINDSILO风仓·佐拉ZOLA,45,1541,￥175,西餐,江滨西路
大嘴·热炒店·台湾菜,40,141,￥111,创意菜,车站大道
柴肆喜衢州麻辣烫·鲜卤(时代店),45,228,￥29,小吃快餐,车站大道
嘟嘟南洋·傣泰大排档(五马街店),45,4448,￥88,泰国菜,五马街/大南门
名棠创意料理(奥体城店),45,437,￥104,创意菜,万达广场
朴叫叫韩式牛骨汤专门店,0,184,￥70,韩国料理,五马街/大南门
Why land·创意西料理,45,112,￥114,创意菜,蒲鞋市
花菩(凯润花园店),45,246,￥220,私房菜,黎明立交桥
AP运动工场(印象城店),35,350,￥138,儿童乐园,中央绿轴
NahNahTai·纳(浙南首店),45,1071,￥126,泰国菜,中央绿轴
烟火人间现炒痛风锅,45,347,￥97,海鲜火锅,鹿城区
鮨汀·Omakase 怀石料理,40,36,"￥1,637",日本料理,鹿城区
老房子(瑶溪店),35,71,￥100,私房菜,龙湾区
NAKUPENDA,45,783,￥128,西餐,下吕浦
Wagas沃歌斯(温州万象城店),45,557,￥83,西餐,温州万象城
传式顺德菜(温州滨江万象城店),30,141,￥166,顺德菜,江滨东路
欧洲城C区,35,7,未知,商场,欧洲城
青野·寻味楠溪餐厅,45,136,￥100,温州菜,岩头
sense叁肆创意菜(金城大厦店),45,1968,￥176,西餐,车站大道
鲍师傅糕点(温州万象城店),40,1000,￥33,面包烘焙,江滨东路
汪保来(温州万象城店),40,722,￥29,面包烘焙,温州万象城
老衢州土家菜(雁荡店),40,201,￥78,农家菜,汤家桥
BURANO布拉诺西餐(温州万象城店),45,660,￥120,西餐,温州万象城
元熹·寿司会席(温州滨江万象城店),40,35,￥381,日本料理,江滨东路
毛球的手作屋,40,49,￥40,DIY手工坊,银泰百货/大南路
OCE(温州滨江万象城店),35,3,未知,居家日用,鹿城区
老衢味道(老衢坊汤家桥店),45,359,￥77,衢州菜,汤家桥
RaiRai来来(闻宅巷步行街店),45,1271,￥114,西餐,银泰百货/大南路
MOMO音乐艺术西餐厅Bar,45,249,￥194,西餐,南塘风貌街
阿卡AK.Lab洋风韩餐(温州万象城店),40,876,￥91,韩国料理,温州万象城
RHBAKERY,45,136,￥25,甜品,银泰百货/大南路
一品嘉海鲜料理(闻宅店),40,1607,￥144,海鲜,五马街/大南门
烧肉怀石·雲井,45,97,￥859,日本料理,鹿城区
找稻田(七都店),40,513,￥50,咖啡厅,鹿城区
小岩隐铁板烧(浙江首店),40,196,￥207,日式铁板烧,江滨东路
樱喜屋·家庭料理(创荣商业广场店),45,1108,￥68,日本料理,大学城
火味潮汕菜(温州店),45,1174,￥82,潮汕菜,鹿城路
温州三和开元大酒店·地中海餐厅,35,209,￥167,自助餐,平阳县中心城区
聿弎時·创意料理(时代广场购物中心店),45,2615,￥147,日本料理,车站大道
小村丼饭食堂(东浦店),45,104,￥29,日式简餐/快餐,车站大道
欢巷·小排档,45,353,￥100,特色菜,智慧谷
璞丽PULI  CLUB,45,1430,￥199,粤菜,望江路
仟杯酒肆(绿洲花园店),45,591,￥120,浙菜,汤家桥
鱼乎·食鱼记(梧田老街店),45,215,￥83,特色菜,老殿后
王记豆腐花,40,660,￥18,快餐简餐,南塘风貌街
钱炙自助料理(吾悦广场店),40,1901,￥114,自助餐,上江
扁头灯盏糕,40,1483,￥14,小吃面食,华盖山
味宅鱼头(金德店),35,34,￥72,温州菜,望江路
東家·猪杂粥觅味馆,40,188,￥68,潮汕菜,火车站南
冯四孃跷脚牛肉·川菜(温州人民中路店),45,300,￥51,川菜馆,五马街/大南门
薛记炒货(温州滨江万象城店),35,16,￥51,零食,鹿城区
小十料理(温州万象城店),45,2046,￥186,日本料理,温州万象城
Casa mia意式餐厅(人民路店),45,151,￥133,西餐,五马街/大南门
南府,40,108,￥95,特色菜,老殿后
温州名小吃(创荣广场店),35,77,￥15,快餐简餐,大学城
破店肥哈·东北烧烤(中荣广场店),45,2338,￥95,烤串,五马街/大南门
虎噢HOO日式家庭料理,45,918,￥76,日本料理,车站大道
朴丰(春晖路店),45,1050,￥87,日本料理,下吕浦
名棠·创意料理(欧洲城店),45,2236,￥107,创意菜,欧洲城
温州童游城主题亲子乐园,35,956,￥102,儿童乐园,动车南站
知味全日餐厅(温州威斯汀酒店),40,2608,￥253,自助餐,鹿城区
聿料亭·烤肉料理,35,91,￥461,日本料理,瓯海区
捞王锅物料理(温州滨江万象城店),40,402,￥115,猪肚鸡火锅,江滨东路
朱光玉火锅馆(温州滨江万象城店),45,175,￥111,重庆火锅,杨府山
RaiRai来来(闻宅巷步行街店),45,1271,￥114,西餐,银泰百货/大南路
大牛生态亲子农场儿童乐园,40,58,￥68,儿童乐园,鹿城区
小牛家东北烤肉(温州柳市店),0,1,￥100,韩式烤肉,柳市镇
lululemon(温州印象城MEGA店),35,12,未知,服饰鞋包,中央绿轴
三垟湿地,50,778,￥56,城市公园,瓯海区
肆榕(马鞍池店),40,994,￥39,快餐简餐,马鞍池
创荣商业广场,40,82,未知,商场,大学城
Wagas沃歌斯(温州滨江万象城店),35,20,￥75,西餐,杨府山
老温州馄饨铺,30,43,￥21,馄饨|抄手|扁食,老殿后
COMMUNE幻师(印象城店),45,1245,￥86,西餐,中央绿轴
Hà N?i 河内河内·越南小馆,45,182,￥60,越南菜,车站大道
鮨·浅草君·洋风料理(温州印象城店),45,827,￥106,日本料理,中央绿轴
温州美食(双庆路店),35,5,￥38,快餐简餐,老殿后
莳宜料理(吾悦广场店),40,147,￥214,日本料理,上江
执元烧鸟.居酒屋,45,297,￥151,日本料理,中央绿轴
赵美丽·重庆社区火锅·直营店(白麓里店),45,196,￥95,重庆火锅,中央绿轴
漢拿山韩国料理,40,1212,￥75,韩国料理,华盖山
晓睿·融合湘菜·RUITEA(温州万象城店),45,1670,￥98,湘菜,温州万象城
柚酱食堂,45,1442,￥104,西餐,中央绿轴
荆九爷爆炒桥头三嫩(新城店),45,963,￥63,川菜馆,中央绿轴
鲁日料理(温州吾悦广场店),40,542,￥139,日本料理,上江
BURANO布拉诺西餐(温州万象城店),45,660,￥120,西餐,温州万象城
聿山居·创意料理,45,4833,￥141,日本料理,五马街/大南门
巷子里老杨饭团,40,72,￥10,快餐简餐,半腰桥
豚幸とんかつ(时代店),45,737,￥96,日本料理,车站大道
D家火锅(龙汇店),50,772,￥113,重庆火锅,东屿村
山前酒座·创意料理,45,62,￥172,日本料理,马鞍池
紫竹素食·茶空间,45,170,￥217,素食,老殿后
友家双囍(时代店),40,960,￥84,甜品,车站大道
51Met Aroma空中餐吧,35,111,￥243,特色菜,银泰百货/大南路
大美西北(温州龙湾店),45,264,￥59,特色菜,万达广场
双门洞18号·小韩料(车站大道店),40,1669,￥92,韩国料理,车站大道
湊湊火锅·茶憩(温州印象城店),45,1213,￥120,火锅,中央绿轴
大罗山风景区,50,430,￥43,自然风光,瓯海区
ROG玩家国度(温州滨江万象城店),50,20,"￥19,297",数码产品,杨府山
绿茶餐厅(温州万象城店),45,2935,￥76,浙菜,温州万象城
東家·猪杂粥觅味馆,40,188,￥68,潮汕菜,火车站南
南塘.新天地,45,230,未知,商场,东屿村
ChinChin 法餐·酒廊,45,338,￥158,西餐,银泰百货/大南路
雪景饭摊(雪山路店),35,19,￥83,温州菜,半腰桥
哥老官重庆美蛙鱼头(温州印象城店),45,581,￥130,重庆火锅,中央绿轴
